qapw	705	88201	0.53 243%
himmel11	14	74	0.17 101%
syn15m04m	1908	7196	0.46 186%
pooling_rt2tp	118	772	0.25 109%
waterund14	333	2537	0.36 154%
crudeoil_lee4_10	17809	138441	0.83 204%
pooling_foulds4pq	1294	9596	0.50 237%
edgecross14-156	3097	22761	0.31 222%
tspn08	72	740	0.24 108%
crudeoil_li05	4225	18853	0.70 221%
procurement1large	14416	55484	1.01 191%
blend721	1428	5976	0.37 193%
chimera_selby-c16-02	2031	12909	0.85 189%
supplychainr1_053050	16640	74440	0.45 192%
sfacloc2_4_80	5067	26491	0.66 270%
st_e24	10	36	0.16 100%
edgecross10-040	1053	6169	0.35 212%
sonet21v6	8232	48976	0.49 181%
squfl010-080	2490	8890	0.36 210%
genpooling_lee2	221	1269	0.28 121%
popdynm25	2807	16711	0.74 238%
chp_partload	5211	21951	0.86 224%
qspp_0_14_0_1_10_1	560	120834	0.29 149%
st_glmp_ss1	24	90	0.20 100%
torsion50	2508	32316	0.53 209%
st_rv2	40	380	0.26 102%
emfl100_3_3	6885	22833	0.37 205%
pedigree_sim400	351	23897	0.17 179%
polygon75	5846	55498	0.00 100%
gabriel10	244056	1392266	0.46 115%
fo9_ar25_1	1049	5385	0.32 182%
rsyn0840m	1159	4327	0.35 163%
gancns	548	3348	0.46 169%
o9_ar4_1	1049	5385	0.32 183%
ex1265a	123	683	0.31 107%
ex9_2_6	28	96	0.23 101%
qspp_0_13_0_1_10_1	481	89003	0.23 161%
slay04m	146	578	0.24 106%
st_e25	20	112	0.19 101%
ex8_4_1	32	132	0.25 101%
st_e07	19	79	0.22 101%
ex1225	26	92	0.22 101%
ndcc13	969	6851	0.66 192%
syn10m04m	1224	4608	0.32 175%
ex5_2_4	18	80	0.21 100%
st_m2	72	1298	0.25 112%
st_bpk1	16	60	0.19 101%
multiplants_stg1	736	4330	0.65 228%
powerflow0300p	11251	53169	0.89 185%
nd_netgen-3000-1-1-b-b-ns_7	33155	123155	0.97 162%
sonet23v4	803	7265	0.59 180%
pooling_sppa0pq	1649	25841	0.57 168%
multiplants_mtg1b	645	5049	0.52 176%
sssd18-08persp	338	1506	0.28 124%
ex9_1_2	19	73	0.22 101%
crudeoil_lee1_07	3670	22992	0.82 245%
pooling_haverly1tp	31	127	0.24 101%
waterund08	230	1520	0.26 129%
kall_diffcircles_6	76	378	0.21 103%
chimera_mgw-c8-439-onc8-001	440	3480	0.49 186%
waterund11	160	988	0.30 113%
chp_shorttermplan2d	16364	68472	0.90 197%
sporttournament18	156	1042	0.34 115%
cvxnonsep_psig30	30	900	0.00 92%
ringpack_20_2	6089	46457	0.49 272%
blend718	1386	5696	0.38 186%
wastepaper4	115	839	0.30 111%
squfl010-040persp	2450	9650	0.39 201%
crudeoil_lee4_06	10429	65921	1.00 218%
netmod_kar1	1746	6674	0.65 199%
ex8_1_7	14	60	0.17 101%
graphpart_3g-0333-0333	108	756	0.25 116%
slay05h	760	2840	0.37 145%
korcns	156	868	0.30 113%
powerflow0118p	5065	23795	0.77 224%
sfacloc2_3_80	4799	25399	0.70 270%
rsyn0820m04m	6028	23400	0.73 230%
hydroenergy1	1046	4070	0.31 155%
maxmin	181	1621	0.21 132%
st_ht	8	26	0.16 99%
crudeoil_lee2_06	6418	41064	0.79 211%
kan_r3_h1_n4	3183	17245	0.51 238%
primary	378	5988	0.32 176%
syn10m03hfsg	1071	3843	0.31 153%
wastewater02m1	36	174	0.26 102%
supplychainr1_022020	4620	20300	0.41 185%
squfl025-025persp	3800	15050	0.39 190%
ringpack_30_2	17999	139457	0.63 161%
nuclear104	39098	296904	0.60 174%
chp_shorttermplan1a	4952	20652	0.70 218%
rocket50	555	4043	0.49 193%
rsyn0840m04m	8508	32780	0.89 208%
mpbp_21	11716	49376	0.63 213%
orth_d4m6_pl	172	1268	0.25 122%
kall_circlespolygons_c1p5b	1681	9113	0.53 220%
acopf_case9241pegase_qcqp	313068	1605476	0.13 99%
ex1223	33	115	0.25 101%
ex6_1_4	10	58	0.18 101%
powerflow0014r	403	2033	0.29 136%
knp5-43	2065	33197	0.27 229%
gabriel09	21688	111390	0.76 159%
tln2	32	120	0.24 100%
prob02	22	98	0.21 101%
blend146	1422	5882	0.38 192%
mpbp_46	4518	19010	0.51 194%
tls6	413	3273	0.37 167%
emfl100_5_5	21925	74225	0.56 171%
qspp_0_11_0_1_10_1	341	44605	0.19 202%
p_ball_10b_5p_4d_m	403	1887	0.29 133%
st_rv9	90	930	0.25 111%
rsyn0840m02m	3486	13062	0.66 226%
nvs05	22	106	0.22 101%
autocorr_bern25-19	28	640	0.00 92%
sssd20-08persp	356	1588	0.29 127%
multiplants_stg5	827	4631	0.64 243%
chimera_rfr-02	2032	17172	0.70 237%
multiplants_stg1a	726	4236	0.62 225%
pooling_adhya4pq	170	1102	0.27 118%
nuclear10a	17493	181309	0.89 180%
sonet24v5	874	8134	0.59 184%
transswitch2736spr	69651	400661	0.23 105%
chp_shorttermplan2a	8992	35280	0.62 197%
catmix200	1001	6593	0.47 128%
nvs23	27	279	0.18 101%
oaer	20	60	0.19 100%
hybriddynamic_fixed	168	556	0.28 107%
edgecross24-115	16747	94099	0.62 174%
space25	1178	5512	0.33 176%
methanol400	23999	175727	1.08 156%
pooling_foulds5tp	1218	9582	0.56 224%
pooling_sppa9tp	5040	126342	0.61 271%
st_miqp2	10	28	0.00 0%
autocorr_bern30-23	33	911	0.00 92%
mpbp_15	9858	41550	0.86 203%
cvxnonsep_psig30r	126	376	0.00 92%
rsyn0830hfsg	1590	5690	0.48 170%
crudeoil_pooling_ct1	1271	5913	0.59 190%
multiplants_stg1c	800	4694	0.66 234%
st_pan1	11	43	0.17 100%
multiplants_stg1b	814	4806	0.68 241%
methanol200	11999	88127	0.59 208%
faclay35	26778	159158	0.50 131%
emfl050_5_5	13175	45475	0.26 193%
transswitch2383wpr	59853	337415	0.28 177%
chimera_lga-01	1120	7520	0.51 214%
gasprod_sarawak16	4596	19912	0.80 228%
crudeoil_lee4_09	15904	117696	1.10 193%
arki0013	44909	205081	0.66 240%
st_m1	42	474	0.22 104%
mpbp_47	5310	22408	0.74 247%
rsyn0815m	821	3063	0.47 170%
arki0016	7993	45201	0.85 276%
st_glmp_ss2	18	66	0.20 101%
rsyn0810m02hfsg	2670	9634	0.62 204%
pointpack06	55	331	0.20 103%
syn40m04hfsg	6328	23224	0.47 187%
clay0304m	258	1098	0.24 116%
pooling_foulds5pq	1218	9518	0.47 242%
clay0305hfsg	1000	3910	0.45 155%
st_test8	64	296	0.28 102%
gams05	17364	270274	0.47 205%
sporttournament08	31	187	0.25 102%
powerflow0030p	1121	5315	0.38 179%
popdynm200	22407	127991	0.93 218%
mpbp_35	11120	51910	0.87 194%
syn30m02m	1492	5428	0.46 191%
wastewater13m1	481	3733	0.41 198%
syn40hfsg	1022	3646	0.36 148%
sep1	69	275	0.25 103%
syn30m03m	2508	9312	0.49 170%
st_qpc-m3a	30	334	0.20 101%
crudeoil_pooling_ct3	2644	14070	0.73 223%
space25a	634	3880	0.55 167%
autocorr_bern20-15	23	417	0.00 0%
ex7_2_1	35	169	0.24 101%
hydroenergy2	2092	8328	0.75 230%
pooling_digabel19	514	5854	0.46 192%
clay0203m	132	552	0.30 105%
squfl030-150	13680	49680	0.36 247%
